"","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude"
"145","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","1498452",47.33333,13.33333
"146","AT","Austria","UNIVERSITAET FUER BODENKULTUR WIEN","1993606.25",47.33333,13.33333
"147","AT","Austria","MONTANUNIVERSITAT LEOBEN","1960985",47.33333,13.33333
"148","AT","Austria","UNIVERSITAT WIEN","1416146",47.33333,13.33333
"149","AT","Austria","AVL LIST GMBH","5927428.75",47.33333,13.33333
"150","AT","Austria","MOLD THIX CONSULTING BUELTERMANN GMBH","71429",47.33333,13.33333
"151","AT","Austria","EASE-LINK GMBH","71429",47.33333,13.33333
"152","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1513335.34",47.33333,13.33333
"153","AT","Austria","GUGER TECHNOLOGIES OG","71429",47.33333,13.33333
"154","AT","Austria","UNIVERSITAT WIEN","1971846",47.33333,13.33333
"155","AT","Austria","UNIVERSITAET INNSBRUCK","150000",47.33333,13.33333
"156","AT","Austria","FORSCHUNGSGESELLSCHAFT MOBILITAET  - Austrian Mobility Research FGM - AMOR Gemeinnutzige GMBH","3920712.5",47.33333,13.33333
"157","AT","Austria","UNIVERSITAET INNSBRUCK","1498514.94",47.33333,13.33333
"158","AT","Austria","UNIVERSITAT WIEN","178156.8",47.33333,13.33333
"159","AT","Austria","Institute of Science and Technology Austria","1496686.99",47.33333,13.33333
"160","AT","Austria","UNIVERSITAET GRAZ","1665000",47.33333,13.33333
"161","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","1499475",47.33333,13.33333
"162","AT","Austria","BLUE DANUBE ROBOTICS GMBH","71429",47.33333,13.33333
"163","AT","Austria","SALZBURG RESEARCH FORSCHUNGSGESELLSCHAFT M.B.H.","2565860",47.33333,13.33333
"164","AT","Austria","FRESNEX GMBH","71429",47.33333,13.33333
"165","AT","Austria","PESSL INSTRUMENTS GMBH","1302812.5",47.33333,13.33333
"166","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","3999411.25",47.33333,13.33333
"167","AT","Austria","OSTERREICHISCHE ENERGIEAGENTUR AUSTRIAN ENERGY AGENCY","4981469.25",47.33333,13.33333
"168","AT","Austria","UNIVERSITAET GRAZ","178156.8",47.33333,13.33333
"169","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","2966268.75",47.33333,13.33333
"170","AT","Austria","ACIB GmbH","6128058.75",47.33333,13.33333
"171","AT","Austria","SMAXTEC ANIMAL CARE GMBH","1803750",47.33333,13.33333
"172","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","1497000",47.33333,13.33333
"173","AT","Austria","HIGH TECH COATINGS GMBH","2999526.64",47.33333,13.33333
"174","AT","Austria","BUNDESMINISTERIUM FUER VERKEHR, INNOVATION UND TECHNOLOGIE","44563055",47.33333,13.33333
"175","AT","Austria","UNIVERSITAT WIEN","3082755",47.33333,13.33333
"176","AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH","1999906",47.33333,13.33333
"177","AT","Austria","BIOBANKS AND BIOMOLECULAR RESOURCESRESEARCH INFRASTRUCTURE CONSORTIUM(BBMRI-ERIC)","1995633.75",47.33333,13.33333
"178","AT","Austria","UNIVERSITAET INNSBRUCK","3797050",47.33333,13.33333
"179","AT","Austria","JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH","7989901.28",47.33333,13.33333
"180","AT","Austria","GANTNER INSTRUMENTS TEST & MEASUREMENT GMBH","71429",47.33333,13.33333
"181","AT","Austria","GUGER TECHNOLOGIES OG","178156.8",47.33333,13.33333
"182","AT","Austria","AMR PROPULSION INNOVATIONS GMBH","71429",47.33333,13.33333
"183","AT","Austria","Institute of Science and Technology Austria","2677500",47.33333,13.33333
"184","AT","Austria","Institute of Science and Technology Austria","1074590",47.33333,13.33333
"185","AT","Austria","INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE","5751232.66",47.33333,13.33333
"186","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"187","AT","Austria","MONTANUNIVERSITAT LEOBEN","5824745",47.33333,13.33333
"188","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","3910185",47.33333,13.33333
